Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Non-individual patient attributable,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,06/01/2024,2021,,1.4063,0.7500,,0.1250,,0.7500,,3.0000,,,,3.2188,9.2501,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,Consultant,Full time,01/04/2024,2003,,1.9250,4.0000,,0.5250,,,,4.3250,,,,,10.7750,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,Consultant,Full time,01/04/2024,2003,,0.8437,0.2292,,0.8021,,5.0001,,1.4896,1.7500,,,1.0415,11.1562,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,01/04/2019,2008,,1.4000,1.9500,,0.2000,,,,3.6000,,,,1.4000,8.5500,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,01/04/2024,2021,,1.2500,2.0000,,0.2500,,,,5.0000,,,,,8.5000,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,Consultant,Full time,01/04/2024,2003,,2.3000,1.5000,,0.7500,,0.7500,,2.8000,1.5000,,,1.0000,10.6000,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,Consultant,Full time,01/04/2024,2003,,2.8542,1.0000,,0.7500,,0.1250,,4.1665,,,,0.6772,9.5729,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,SAS Doctor,Full time,01/04/2024,2021,,1.6563,0.7500,,0.0625,,,,2.8125,,,,3.3125,8.5938,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,Consultant,Part time,01/04/2024,Pre 2003,,1.5000,,,,,,,2.0000,,,,,3.5000,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,Consultant,Part time,01/04/2024,2003,,0.7500,,,1.0000,,,,4.0000,,,,1.0000,6.7500,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,Consultant,Part time,01/04/2024,2003,,0.8750,,,,,,,3.0000,,,,1.0157,4.8907,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,Consultant,Full time,01/04/2024,2003,,,,,0.0625,,,,3.5000,,,,2.8125,6.3750,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,Consultant,Full time,01/04/2024,2003,,1.5000,,,0.2580,,0.5000,,3.0000,2.0000,,,2.3750,9.6330,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,Consultant,Full time,01/04/2024,2003,,2.2346,,,1.3595,,,,2.0000,2.0000,,,2.3594,9.9535,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,Consultant,Part time,01/04/2024,2003,Locum,2.6667,,,0.2500,,0.3542,0.6250,1.7500,2.0000,,,1.8750,9.5209,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,Consultant,Full time,01/04/2024,2003,,3.1251,,,0.5000,,0.5000,,2.2500,2.0000,,,2.3125,10.6876,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,Consultant,Full time,01/04/2024,2003,Locum,0.4721,,,,,,,,,,,7.5650,8.0371,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,Consultant,Full time,01/04/2024,2003,Locum,1.5844,,,,,,,,,,,6.2785,7.8629,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,Consultant,Full time,01/04/2024,2003,,0.5000,,,,,,,,,,,4.5178,5.0178,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,SAS Doctor,Full time,01/04/2024,2008,,,,,,,,,,,,,9.0000,9.0000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Acute medicine,Consultant,Full time,01/04/2024,2003,Locum,,,,,,,,,,,,7.9501,7.9501,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2023,2003,,0.5000,0.7448,,,,,,,0.0573,,0.7222,5.4759,7.5002,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2024,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,01/04/2024,2003,,0.5833,0.7448,,,,,,,,,,5.1634,6.4915,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2024,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,03/04/2023,2003,,0.5833,0.7500,,,,,,,0.0860,,0.7222,5.3617,7.5032,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2023,2003,,0.5000,0.7448,,,,,,,0.0573,,0.7222,5.4759,7.5002,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2024,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2023,2003,,0.5000,0.7448,,,,,,,0.0573,,0.7222,5.4759,7.5002,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2023,2003,,0.5000,0.7448,,,,,,,0.0573,,0.7222,5.4759,7.5002,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,01/04/2024,2003,,0.5454,0.8182,,,,,,,0.0938,,0.7879,5.2577,7.5030,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,03/04/2023,2003,,0.5000,0.7448,,,,,,,0.0573,,0.7222,4.4759,6.5002,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,03/04/2023,2003,,0.5000,0.7448,,,,,,,0.0573,,0.7222,5.4759,7.5002,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,01/04/2024,2008,,,,,,,,,,,,,9.9454,9.9454,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Part time,01/04/2024,2008,,,,,,,,,,,,,5.4362,5.4362,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Part time,01/04/2024,2021,,,,,,,,,,,,,5.0141,5.0141,
