Directorate,Department,Specialty,Team,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Travelling time,Unpredictable Emergency Work,Ward rounds,Total,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,,Consultant,Part time,01/04/2025,2003,,1.0000,,,1.2500,2.0000,,2.0000,,,,,,6.2500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,5.8750,,1.3750,,,0.2500,1.0000,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,0.5000,4.2500,,1.0000,,,1.0000,1.0000,,,,,7.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,7.5000,,1.0000,,,,1.0000,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,Locum,,7.2500,,0.7500,,,,1.0000,,,,,9.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,0.2500,6.2500,,1.2500,,,,1.0000,,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,6.2500,,,,,,,,,,,6.2500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,6.2500,,1.2500,,,,,,,,,7.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,0.2500,7.0000,,1.2500,,,,1.0000,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,5.5000,,1.2500,,,,1.0000,,,,,7.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,7.2500,,1.2500,,,,1.0000,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,Pre 2003,,,6.3750,,1.3750,,,,1.0000,,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,8.7500,,0.2500,,,,1.0000,,,,,10.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,0.1250,6.8750,,0.5000,,,,1.0000,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/08/2024,2003,,,8.1250,,0.3750,,,,1.0000,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Part time,01/04/2025,2003,,,3.1250,,0.1250,,,,,,,,,3.2500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Part time,01/04/2025,2003,,,4.6250,,0.8750,,,,1.0000,,,,,6.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,6.6250,,0.8750,,,,1.0000,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,,Consultant,Full time,01/04/2025,2003,,,7.7500,,0.7500,,,,1.0000,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Biochemistry,Consultant,Full time,01/04/2025,2003,,0.2500,6.2500,,,,,3.2500,,,,1.0017,,10.7517,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,,,9.2500,,0.2500,,,,,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,,,7.0000,,0.5000,,,,,,,,,7.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Part time,01/04/2025,2003,,,7.0000,,1.0000,,,,,,,,,8.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Cellular Pathology,Consultant,Full time,01/04/2025,2003,,0.7500,5.0000,,0.7500,,,,,,,,,6.5000,
