Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,Consultant,Full time,01/04/2023,2003,,1.6250,,0.2500,0.5000,,3.0000,2.0000,,,2.1250,9.5000,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,Consultant,Full time,01/04/2023,2003,,2.2346,,1.3595,,,2.0000,2.0000,,,2.3594,9.9535,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,Consultant,Part time,01/04/2023,2003,Locum,1.9375,,0.2500,0.5000,0.6250,1.7500,2.0000,,,2.6250,9.6875,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Respiratory,Consultant,Full time,01/04/2023,2003,,2.6407,,0.5469,0.5000,,2.2500,2.0000,,,2.6250,10.5626,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2022,2003,,0.5000,0.7450,,,,,0.0570,,0.7220,5.4760,7.5000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,01/04/2022,2003,,0.8750,,,,,,,,0.7220,4.9260,6.5230,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,01/04/2022,2003,,0.3750,0.6410,,,,,,,1.0830,5.4020,7.5010,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2022,2003,,0.5000,0.7450,,,,,0.0570,,0.7220,5.4760,7.5000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,01/04/2023,2003,,,,5.0000,,,,,,,,5.0000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,SAS Doctor,Full time,31/01/2018,2008,,,,,,,,,,,10.0830,10.0830,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2022,2003,,0.5000,0.7450,,,,,0.0570,,0.7220,5.4760,7.5000,
NEW: Integrated Emergency and Medical Pathways Division,Urgent & Emergency Care ,Emergency Department (ED) ,Consultant,Full time,02/04/2022,2003,,0.5000,0.7450,,,,,0.0570,,0.7220,5.4760,7.5000,
