Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Integrated Emergency and Medical Pathways,258756,DUTY TEAM,Pay,Admin & Clerical,2025-12,,WTE,-0.75,"-£2,866.40",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.75,
,Integrated Emergency and Medical Pathways,258756,DUTY TEAM,Pay,Admin & Clerical,2025-12,,WTE,-0.91,"-£3,164.27",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-0.91,
,Chief Op Off,258757,EMERGENCY PLANNING,Pay,Snr Managers,2025-12,,WTE,-1.00,"-£7,281.82",,,Chief Op Off,,Corporate Services,Senior Managers,Substantive,-1.00,
,Chief Op Off,258757,EMERGENCY PLANNING,Pay,Admin & Clerical,2025-12,,WTE,-0.80,"-£2,653.86",,,Chief Op Off,,Corporate Services,Admin & Clerical Staff,Substantive,-0.80,
,Chief Nurse,258758,PATIENT EXPERIENCE TEAM,Pay,Snr Managers,2025-12,,WTE,-2.00,"-£15,720.37",,,Chief Nurse,,Corporate Services,Senior Managers,Substantive,-2.00,
,Chief Nurse,258758,PATIENT EXPERIENCE TEAM,Pay,Admin & Clerical,2025-12,,WTE,-4.29,"-£15,964.88",,,Chief Nurse,,Corporate Services,Admin & Clerical Staff,Substantive,-4.29,
,Chief Nurse,258760,INTERNATIONAL NURSE RECRUITMNT,Pay,Nursing,2025-12,,WTE,-1.00,"-£5,594.71",,,Chief Nurse,,Corporate Services,Nursing & Midwifery Staff,Substantive,-1.00,
,Chief Op Off,258761,CANCER TRANSFORMATION PROJECTS,Pay,Admin & Clerical,2025-12,,WTE,-1.00,"-£6,073.09",,,Chief Op Off,,Corporate Services,Admin & Clerical Staff,Substantive,-1.00,
,Chief Op Off,258762,CORPORATE CANCER TEAM,Pay,Snr Managers,2025-12,,WTE,-2.00,"-£10,895.82",,,Chief Op Off,,Corporate Services,Senior Managers,Substantive,-2.00,
,Chief Op Off,258762,CORPORATE CANCER TEAM,Pay,Admin & Clerical,2025-12,,WTE,-20.00,"-£70,314.90",,,Chief Op Off,,Corporate Services,Admin & Clerical Staff,Substantive,-20.00,
,Director of People,258776,Trust maternity leave,Pay,Snr Managers,2025-12,,WTE,0.00,"-£2,485.20",,,Director of People,,Corporate Services,Senior Managers,Substantive,0.00,
,Director of People,258776,Trust maternity leave,Pay,Medical,2025-12,,WTE,0.00,"-£23,884.73",,,Director of People,,Corporate Services,Medical Staff,Substantive,0.00,
,Director of People,258776,Trust maternity leave,Pay,Nursing,2025-12,,WTE,0.00,"-£92,847.36",,,Director of People,,Corporate Services,Nursing & Midwifery Staff,Substantive,0.00,
,Director of People,258776,Trust maternity leave,Pay,"Scientific, Therapeutic & Tech",2025-12,,WTE,0.00,"-£11,396.07",,,Director of People,,Corporate Services,"Scientific, Therapeutic & Technical Staff",Substantive,0.00,
,Director of People,258776,Trust maternity leave,Pay,Admin & Clerical,2025-12,,WTE,0.00,"-£10,586.25",,,Director of People,,Corporate Services,Admin & Clerical Staff,Substantive,0.00,
,Director of Corporate Affairs,258778,CORPORATE AFFAIRS,Pay,Admin & Clerical,2025-12,,WTE,-7.00,"-£30,028.05",,,Director of Corporate Affairs,,Corporate Services,Admin & Clerical Staff,Substantive,-7.00,
,Chief Op Off,258779,WINTER PLANNING,Pay,Medical,2025-12,,WTE,-4.95,"-£94,092.08",,,Chief Op Off,,Corporate Services,Medical Staff,Bank,-4.95,
,Chief Op Off,258779,WINTER PLANNING,Pay,Nursing,2025-12,,WTE,-0.20,"-£1,536.39",,,Chief Op Off,,Corporate Services,Nursing & Midwifery Staff,Bank,-0.20,
,Chief Op Off,258779,WINTER PLANNING,Pay,Ancillary,2025-12,,WTE,0.00,"-£16,578.25",,,Chief Op Off,,Corporate Services,"HCA, Other Support & Ancillary Staff",Bank,0.00,
,Chief Op Off,258779,WINTER PLANNING,Pay,Medical,2025-12,,WTE,-0.27,"-£5,104.91",,,Chief Op Off,,Corporate Services,Medical Staff,Agency,-0.27,
,Director Quality Improvement,259000,MSK COLLABORATION,Pay,Snr Managers,2025-12,,WTE,-1.00,"-£8,977.87",,,Director Quality Improvement,,Director Quality Improvement,Senior Managers,Substantive,-1.00,
,Director Quality Improvement,259001,QUALITY FIRST,Pay,Snr Managers,2025-12,,WTE,-9.10,"-£69,575.29",,,Director Quality Improvement,,Director Quality Improvement,Senior Managers,Substantive,-9.10,
,Director Quality Improvement,259001,QUALITY FIRST,Pay,Admin & Clerical,2025-12,,WTE,-3.80,"-£16,694.55",,,Director Quality Improvement,,Director Quality Improvement,Admin & Clerical Staff,Substantive,-3.80,
,Director Quality Improvement,259002,PROGRAMME MANAGEMENT OFFICE,Pay,Snr Managers,2025-12,,WTE,-5.03,"-£36,080.47",,,Director Quality Improvement,,Director Quality Improvement,Senior Managers,Substantive,-5.03,
,Director Quality Improvement,259002,PROGRAMME MANAGEMENT OFFICE,Pay,Admin & Clerical,2025-12,,WTE,-1.00,"-£3,728.43",,,Director Quality Improvement,,Director Quality Improvement,Admin & Clerical Staff,Substantive,-1.00,
