,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2023-11,,WTE,-8.53,"-£141,478.00",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-8.53,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2023-11,,WTE,-2.96,"-£103,145.05",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-2.96,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2023-11,,WTE,-63.61,"-£530,672.40",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-63.61,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2023-12,,WTE,-10.89,"-£181,534.74",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-10.89,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2023-12,,WTE,-6.96,"-£113,315.76",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-6.96,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2023-12,,WTE,-64.46,"-£601,962.66",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-64.46,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-01,,WTE,-7.51,"-£123,495.92",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-7.51,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-01,,WTE,-6.41,"-£100,348.00",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-6.41,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-01,,WTE,-61.18,"-£586,809.25",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-61.18,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-02,,WTE,-7.54,"-£117,889.88",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-7.54,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-02,,WTE,-6.90,"-£107,304.46",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-6.90,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-02,,WTE,-58.56,"-£625,485.52",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-58.56,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-03,,WTE,-6.85,"-£112,812.71",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-6.85,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-03,,WTE,-6.56,"-£23,624.24",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-6.56,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2024-03,,WTE,-58.60,"-£575,802.47",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-58.60,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2023-11,,WTE,-0.44,"-£4,278.35",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-0.44,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2023-11,,WTE,-6.55,"-£38,851.77",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.55,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2023-12,,WTE,-0.27,"-£2,360.43",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-0.27,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2023-12,,WTE,-6.35,"-£38,495.20",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.35,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-01,,WTE,-0.14,"-£1,393.26",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-0.14,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-01,,WTE,-6.35,"-£39,273.30",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.35,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-02,,WTE,-0.25,"-£2,142.84",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-0.25,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-02,,WTE,-6.35,"-£38,884.83",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.35,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-03,,WTE,-0.51,"-£4,653.55",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-0.51,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-03,,WTE,-6.35,"-£38,112.09",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.35,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,"Scientific, Therapeutic & Tech",2023-11,,WTE,-0.53,"-£2,630.31",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-0.53,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,"Scientific, Therapeutic & Tech",2023-12,,WTE,-0.53,"-£2,630.31",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-0.53,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,"Scientific, Therapeutic & Tech",2024-01,,WTE,-0.53,"-£2,630.31",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-0.53,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,"Scientific, Therapeutic & Tech",2024-02,,WTE,-0.53,"-£2,630.31",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-0.53,
