Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-07,,WTE,-9.8,"(£59,057.80)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-08,,WTE,-9.8,"(£59,431.30)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-09,,WTE,-9.6,"(£57,952.87)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.6,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-10,,WTE,-8.8,"(£73,008.83)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-8.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-11,,WTE,-0.07,£0.00 ,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-0.07,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-11,,WTE,-8.37,"(£57,086.08)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-8.37,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-12,,WTE,-7.8,"(£49,880.99)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2025-01,,WTE,-8.8,"(£55,642.34)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-8.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2025-02,,WTE,-7.8,"(£50,948.52)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2025-03,,WTE,-7.8,"(£49,896.20)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-04,,WTE,-7,"(£46,159.00)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-7,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-05,,WTE,-7,"(£48,885.72)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-7,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-06,,WTE,-7,"(£46,713.85)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-7,
