Provider Code,Provider Name,Region Name,Region Code,ICB Code,ICB Name,Acute Status,Activity Month,Moved or Discharged
RYR,University Hospitals Sussex NHS Foundation Trust,South East,Y59,QNX,NHS Sussex Integrated Care Board,Acute,01/08/2022,553
NQT,HCRG CARE LTD,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Non-Acute,01/09/2022,141
R0A,Manchester University NHS Foundation Trust,North West,Y62,QOP,NHS Greater Manchester Integrated Care Board,Acute,01/09/2022,1450
R0B,South Tyneside And Sunderland NHS Foundation Trust,North East and Yorkshire,Y63,QHM,NHS North East and North Cumbria Integrated Care Board,Acute,01/09/2022,1274
R0D,University Hospitals Dorset NHS Foundation Trust,South West,Y58,QVV,NHS Dorset Integrated Care Board,Acute,01/09/2022,982
R1D,Shropshire Community Health NHS Trust,Midlands,Y60,QOC,NHS Shropshire Telford and Wrekin Integrated Care Board,Non-Acute,01/09/2022,174
R1F,Isle of Wight NHS Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/09/2022,1036
R1H,Barts Health NHS Trust,London,Y56,QMF,NHS North East London Integrated Care Board,Acute,01/09/2022,1001
R1K,London North West University Healthcare NHS Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/09/2022,255
RA7,University Hospitals Bristol And Weston NHS Foundation Trust,South West,Y58,QUY,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,Acute,01/09/2022,2877
RA9,Torbay And South Devon NHS Foundation Trust,South West,Y58,QJK,NHS Devon Integrated Care Board,Acute,01/09/2022,189
RAE,Bradford Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/09/2022,749
RAJ,Mid And South Essex NHS Foundation Trust,East of England,Y61,QH8,NHS Mid and South Essex Integrated Care Board,Acute,01/09/2022,4029
RAL,Royal Free London NHS Foundation Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/09/2022,363
RAN,Royal National Orthopaedic Hospital NHS Trust,London,Y56,QMJ,NHS North Central London Integrated Care Board,Acute,01/09/2022,293
RAS,The Hillingdon Hospitals NHS Foundation Trust,London,Y56,QRV,NHS North West London Integrated Care Board,Acute,01/09/2022,407
RAX,Kingston and Richmond NHS Foundation Trust,London,Y56,QWE,NHS South West London Integrated Care Board,Acute,01/09/2022,988
RBD,Dorset County Hospital NHS Foundation Trust,South West,Y58,QVV,NHS Dorset Integrated Care Board,Acute,01/09/2022,226
RBK,Walsall Healthcare NHS Trust,Midlands,Y60,QUA,NHS Black Country Integrated Care Board,Acute,01/09/2022,176
RBL,Wirral University Teaching Hospital NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,338
RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,1384
RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,25
RBS,Alder Hey Children's NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,581
RBT,Mid Cheshire Hospitals NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,262
RC9,Bedfordshire Hospitals NHS Foundation Trust,East of England,Y61,QHG,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,Acute,01/09/2022,1178
RCB,York And Scarborough Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/09/2022,1333
RCD,Harrogate And District NHS Foundation Trust,North East and Yorkshire,Y63,QOQ,NHS Humber and North Yorkshire Integrated Care Board,Acute,01/09/2022,682
RCF,Airedale NHS Foundation Trust,North East and Yorkshire,Y63,QWO,NHS West Yorkshire Integrated Care Board,Acute,01/09/2022,203
RCU,Sheffield Children's NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2022,945
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",East of England,Y61,QMM,NHS Norfolk and Waveney Integrated Care Board,Acute,01/09/2022,40
RD1,Royal United Hospitals Bath NHS Foundation Trust,South West,Y58,QOX,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,Acute,01/09/2022,928
RD8,Milton Keynes University Hospital NHS Foundation Trust,East of England,Y61,QHG,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,Acute,01/09/2022,519
RDE,East Suffolk And North Essex NHS Foundation Trust,East of England,Y61,QJG,NHS Suffolk and North East Essex Integrated Care Board,Acute,01/09/2022,1291
RDY,Dorset Healthcare University NHS Foundation Trust,South West,Y58,QVV,NHS Dorset Integrated Care Board,Non-Acute,01/09/2022,420
REF,Royal Cornwall Hospitals NHS Trust,South West,Y58,QT6,NHS Cornwall and The Isles Of Scilly Integrated Care Board,Acute,01/09/2022,5306
REM,Liverpool University Hospitals NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,2444
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,19
REP,Liverpool Women's NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,135
RET,The Walton Centre NHS Foundation Trust,North West,Y62,QYG,NHS Cheshire and Merseyside Integrated Care Board,Acute,01/09/2022,499
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",London,Y56,QMF,NHS North East London Integrated Care Board,Acute,01/09/2022,364
RFF,Barnsley Hospital NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2022,429
RFR,The Rotherham NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2022,0
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Midlands,Y60,QJ2,NHS Derby and Derbyshire Integrated Care Board,Acute,01/09/2022,592
RGM,Royal Papworth Hospital NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/09/2022,442
RGN,North West Anglia NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/09/2022,2083
RGP,James Paget University Hospitals NHS Foundation Trust,East of England,Y61,QMM,NHS Norfolk and Waveney Integrated Care Board,Acute,01/09/2022,466
RGR,West Suffolk NHS Foundation Trust,East of England,Y61,QJG,NHS Suffolk and North East Essex Integrated Care Board,Acute,01/09/2022,297
RGT,Cambridge University Hospitals NHS Foundation Trust,East of England,Y61,QUE,NHS Cambridgeshire and Peterborough Integrated Care Board,Acute,01/09/2022,2060
RH5,Somerset NHS Foundation Trust,South West,Y58,QSL,NHS Somerset Integrated Care Board,Acute,01/09/2022,3818
RH8,Royal Devon University Healthcare NHS Foundation Trust,South West,Y58,QJK,NHS Devon Integrated Care Board,Acute,01/09/2022,1435
RHA,Nottinghamshire Healthcare NHS Foundation Trust,Midlands,Y60,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board,Non-Acute,01/09/2022,373
RHM,University Hospital Southampton NHS Foundation Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/09/2022,2017
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,North East and Yorkshire,Y63,QF7,NHS South Yorkshire Integrated Care Board,Acute,01/09/2022,1037
RHU,Portsmouth Hospitals University National Health Service Trust,South East,Y59,QRL,NHS Hampshire and Isle Of Wight Integrated Care Board,Acute,01/09/2022,1016
